food_name,food_group,calories,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,serving_size_g,protein_calorie_ratio
Sabudana Khichdi,Vegetarian,327,56.06,5.61,6.54,3.74,1.87,0,100,0.02
Vegetable Khichdi,Vegetarian,280,44.8,13.44,8.96,3.36,5.6,0,100,0.05
Laal Maas,Vegetarian,410,10.25,25.63,26.14,8.2,2.05,102.5,100,0.06
Gajar Halwa,Vegetarian,299,37.38,6.41,16.02,8.54,5.34,26.7,100,0.02
Malai Sandwich,Vegetarian,256,30.72,7.17,12.29,4.1,4.1,30.72,100,0.03
Pineapple Raita,Vegetarian,158,23.17,4.21,6.32,3.16,5.27,0,100,0.03
Shrikhand,Vegetarian,319,42.53,6.38,15.95,12.76,2.13,26.58,100,0.02
Chole Tikki,Vegetarian,264,37.16,9.78,7.82,2.93,3.91,0,100,0.04
Masala Khichdi,Vegetarian,308,48.13,8.66,7.7,3.85,5.78,0,100,0.03
Patra,Vegetarian,212,31.8,5.3,8.48,2.12,4.24,0,100,0.03
Idli Sambar,Vegetarian,258,46.44,6.19,6.19,2.06,5.16,0,100,0.02
Moong Dal Chilla,Vegetarian,175,24.31,11.67,2.92,0.97,4.86,0,100,0.07
Carrot Paratha,Vegetarian,236,35.91,6.16,8.21,3.08,5.13,0,100,0.03
Kaju Katli,Vegetarian,295,35.6,5.09,15.26,10.17,4.07,20.34,100,0.02
Veg Hakka Noodles,Vegetarian,356,55.94,7.12,12.21,5.09,4.07,0,100,0.02
Shrimp Korma,Vegetarian,328,10.64,22.16,17.73,6.21,2.66,62.05,100,0.07
Chana Chaat,Vegetarian,206,28.09,7.49,5.62,2.81,4.68,0,100,0.04
Barfi,Vegetarian,315,45,5.63,16.88,9,4.5,22.5,100,0.02
Dal Bhati,Vegetarian,271,36.13,10.84,6.32,2.71,4.52,0,100,0.04
Vegetable Dosa,Vegetarian,340,48.57,7.77,11.66,2.91,3.89,0,100,0.02
Chole Rice,Vegetarian,349,50.51,11.02,8.27,3.67,4.59,0,100,0.03
Pineapple Kesari,Vegetarian,290,48.33,5.37,10.74,8.59,4.3,16.11,100,0.02
Vegetable Samosa,Vegetarian,221,30.14,5.02,9.04,3.01,4.02,0,100,0.02
Kesar Pista Kulfi,Vegetarian,346,39.54,5.93,17.79,11.86,2.97,34.6,100,0.02
Aloo Gajar Methi,Vegetarian,220,38.7,7.46,11.54,5.72,4.28,10.18,100,0.03
Masala Wontons,Vegetarian,300,38.81,7.38,11.52,5.75,4.29,9.93,100,0.03
Chana Chole,Vegetarian,318,38.91,7.3,11.51,5.79,4.3,9.68,100,0.03
Apple Kheer,Vegetarian,308,39.02,7.22,11.49,5.82,4.31,9.43,100,0.03
Papdi Chaat,Vegetarian,241,39.13,7.14,11.47,5.86,4.32,9.18,100,0.03
Vegetable Pakora,Vegetarian,296,39.24,7.06,11.45,5.89,4.33,8.93,100,0.02
Laal Gobi Sabzi,Vegetarian,188,39.35,6.98,11.43,5.92,4.34,8.68,100,0.02
Turai (Ridge Gourd) Sabzi,Vegetarian,137,39.46,6.9,11.41,5.96,4.35,8.43,100,0.02
Aloo Methi,Vegetarian,183,39.57,6.82,11.39,5.99,4.36,8.17,100,0.02
Amaranth Leaves (Chaulai) Sabzi,Vegetarian,87,39.67,6.74,11.37,6.03,4.38,7.92,100,0.02
Kaddu Ki Sabzi (Pumpkin),Vegetarian,168,39.78,6.65,11.36,6.06,4.39,7.67,100,0.02
Cluster Beans (Gawar) Sabzi,Vegetarian,183,39.89,6.57,11.34,6.1,4.4,7.42,100,0.02
Bottle Gourd (lauki) with Moong Dal,Vegetarian,206,40,6.49,11.32,6.13,4.41,7.17,100,0.02
Okra (Bhindi) Masala,Vegetarian,123,40.11,6.41,11.3,6.17,4.42,6.92,100,0.02
Carrot and Peas Sabzi,Vegetarian,162,40.22,6.33,11.28,6.2,4.43,6.67,100,0.02
Chili Paneer with Capsicum,Vegetarian,290,40.32,6.25,11.26,6.24,4.44,6.42,100,0.02
Brinjal (Baingan) Bharta,Vegetarian,166,40.43,6.17,11.24,6.27,4.45,6.17,100,0.02
Methi Thepla (Fenugreek Flatbread),Vegetarian,233,40.54,6.09,11.23,6.31,4.47,5.91,100,0.02
Gobi (Cauliflower) Masala,Vegetarian,176,40.65,6.01,11.21,6.34,4.48,5.66,100,0.02
Palak (Spinach) and Toor Dal,Vegetarian,185,40.76,5.93,11.19,6.38,4.49,5.41,100,0.02
Shorba (Spinach Soup),Vegetarian,106,40.87,5.85,11.17,6.41,4.5,5.16,100,0.02
Arbi (Colocasia) Masala,Vegetarian,188,40.98,5.77,11.15,6.45,4.51,4.91,100,0.02
Chow Chow (Chayote) Sabzi,Vegetarian,183,41.08,5.69,11.13,6.48,4.52,4.66,100,0.02
Kundru (Ivy Gourd) Masala,Vegetarian,162,41.19,5.6,11.11,6.52,4.53,4.41,100,0.02
Palak Puri,Vegetarian,236,41.3,5.52,11.09,6.55,4.54,4.16,100,0.02
Tomato Chutney with Bottle Gourd,Vegetarian,149,41.41,5.44,11.08,6.59,4.55,3.91,100,0.02
Lauki (Bottle Gourd) and Masoor Dal,Vegetarian,230,41.52,5.36,11.06,6.62,4.57,3.66,100,0.02
Chana and Spinach (Palak) Curry,Vegetarian,300,41.63,5.28,11.04,6.66,4.58,3.4,100,0.02
Beetroot and Carrot Salad,Vegetarian,128,41.74,5.2,11.02,6.69,4.59,3.15,100,0.02
Radish (Mooli) Paratha,Vegetarian,280,41.84,5.12,11,6.72,4.6,2.9,100,0.02
Cabbage and Peas Sabzi,Vegetarian,182,41.95,5.04,10.98,6.76,4.61,2.65,100,0.02
Green Beans and Potato Sabzi,Vegetarian,208,42.06,4.96,10.96,6.79,4.62,2.4,100,0.02
Raw Mango and Spinach Salad,Vegetarian,99,42.17,4.88,10.95,6.83,4.63,2.15,100,0.02
Mustard Greens (Sarson) Saag,Vegetarian,229,42.28,4.8,10.93,6.86,4.64,1.9,100,0.02
Spinach (Palak) Paratha,Vegetarian,282,42.39,4.72,10.91,6.9,4.65,1.65,100,0.02
Saag Aloo (Spinach and Potato),Vegetarian,252,42.49,4.64,10.89,6.93,4.67,1.4,100,0.02
Bitter Gourd (Karela) Stir Fry,Vegetarian,154,42.6,4.55,10.87,6.97,4.68,1.14,100,0.02
Chana Masala with Bottle Gourd,Vegetarian,260,42.71,4.47,10.85,7,4.69,0.89,100,0.02
Karela (Bitter Gourd) with Onion,Vegetarian,171,42.82,4.39,10.83,7.04,4.7,0.64,100,0.02
Chow Chow (Chayote) Salad,Vegetarian,95,42.93,4.31,10.81,7.07,4.71,0.39,100,0.02
Chana Dal with Bottle Gourd,Vegetarian,215,43.04,4.23,10.8,7.11,4.72,0.14,100,0.02
Green Mango and Cucumber Salad,Vegetarian,78,43.15,4.15,10.78,7.14,4.73,-0.11,100,0.02
Aloo-Gobhi (Potato-Cauliflower),Vegetarian,212,43.25,4.07,10.76,7.18,4.74,-0.36,100,0.01
Green Peas Pulao,Vegetarian,299,43.36,3.99,10.74,7.21,4.75,-0.61,100,0.01
Tomato and Onion Salad,Vegetarian,75,43.47,3.91,10.72,7.25,4.77,-0.86,100,0.01
Masala Lauki,Vegetarian,199,43.58,3.83,10.7,7.28,4.78,-1.12,100,0.01
Toor Dal with Pumpkin,Vegetarian,217,43.69,3.75,10.68,7.32,4.79,-1.37,100,0.01
Potato and Spinach Curry,Vegetarian,232,43.8,3.67,10.66,7.35,4.8,-1.62,100,0.01
Chana and Cabbage Sabzi,Vegetarian,252,43.91,3.58,10.65,7.39,4.81,-1.87,100,0.01
Spinach and Onion Roti,Vegetarian,256,44.01,3.5,10.63,7.42,4.82,-2.12,100,0.01
Karela and Onion Stir Fry,Vegetarian,163,44.12,3.42,10.61,7.46,4.83,-2.37,100,0.01
Radish (Mooli) and Moong Dal,Vegetarian,210,44.23,3.34,10.59,7.49,4.84,-2.62,100,0.01
Aloo-Besan (Potato and Chickpea Flour) Paratha,Vegetarian,302,44.34,3.26,10.57,7.52,4.85,-2.87,100,0.01
Spinach and Tomato Soup,Vegetarian,94,44.45,3.18,10.55,7.56,4.87,-3.12,100,0.01
Methi and Aloo (Fenugreek and Potato) Curry,Vegetarian,220,44.56,3.1,10.53,7.59,4.88,-3.38,100,0.01
Mixed Vegetable Pulao,Vegetarian,308,44.66,3.02,10.52,7.63,4.89,-3.63,100,0.01
Paneer Tikka,Vegetarian,342,44.77,2.94,10.5,7.66,4.9,-3.88,100,0.01
Chole Bhature with Soy Protein,Vegetarian,482,44.88,2.86,10.48,7.7,4.91,-4.13,100,0.01
Tofu Stir-Fry with Vegetables,Vegan,320,44.99,2.78,10.46,7.73,4.92,-4.38,100,0.01
Vegetable and Tofu Pulao,Vegan,392,45.1,2.7,10.44,7.77,4.93,-4.63,100,0.01
Moong Dal with Quinoa,Vegetarian,313,45.21,2.62,10.42,7.8,4.94,-4.88,100,0.01
Chana Dal and Brown Rice,Vegetarian,382,45.32,2.53,10.4,7.84,4.96,-5.13,100,0.01
Lentil and Spinach Soup,Vegetarian,245,45.42,2.45,10.38,7.87,4.97,-5.38,100,0.01
Grilled Tofu with Veggie Salad,Non-Vegetarian,304,45.53,2.37,10.37,7.91,4.98,-5.63,100,0.01
Masoor Dal with Amaranth,Vegetarian,324,45.64,2.29,10.35,7.94,4.99,-5.89,100,0.01
Vegetable Biryani with Soy Protein,Vegetarian,454,45.75,2.21,10.33,7.98,5,-6.14,100,0.01
Chicken Breast with Sweet Potato,Non-Vegetarian,430,45.86,2.13,10.31,8.01,5.01,-6.39,100,0.01
Grilled Salmon with Broccoli,Vegetarian,404,45.97,2.05,10.29,8.05,5.02,-6.64,100,0.01
Beef Stir-Fry with Vegetables,Non-Vegetarian,402,46.08,1.97,10.27,8.08,5.03,-6.89,100,0.01
Chicken Korma with Brown Rice,Non-Vegetarian,542,46.18,1.89,10.25,8.12,5.04,-7.14,100,0.01
Paneer Butter Masala with Brown Rice,Vegetarian,525,46.29,1.81,10.24,8.15,5.06,-7.39,100,0.01
Chickpea and Spinach Stir Fry,Vegetarian,314,46.4,1.73,10.22,8.19,5.07,-7.64,100,0.01
Grilled Tofu with Quinoa,Vegan,386,46.51,1.65,10.2,8.22,5.08,-7.89,100,0.01
Palak (Spinach) and Moong Dal,Vegetarian,248,46.62,1.57,10.18,8.26,5.09,-8.15,100,0.01
Quinoa and Lentil Salad,Vegetarian,362,46.73,1.48,10.16,8.29,5.1,-8.4,100,0.01
Tempeh and Tofu Stir-Fry,Vegan,394,46.83,1.4,10.14,8.32,5.11,-8.65,100,0.01
Vegetable Protein-Packed Soup,Vegetarian,332,46.94,1.32,10.12,8.36,5.12,-8.9,100,0.01
Chicken Shawarma Wrap,Non-Vegetarian,480,47.05,1.24,10.1,8.39,5.13,-9.15,100,0.01
Mutton Seekh Kebab,Non-Vegetarian,450,47.16,1.16,10.09,8.43,5.14,-9.4,100,0.01
Grilled Paneer with Veggie Salad,Non-Vegetarian,334,47.27,1.08,10.07,8.46,5.16,-9.65,100,0
Quinoa and Chickpea Salad,Vegetarian,330,47.38,1,10.05,8.5,5.17,-9.9,100,0
Grilled Chicken with Avocado,Non-Vegetarian,394,47.49,0.92,10.03,8.53,5.18,-10.15,100,0
Vegan Tempeh Stir-Fry with Veggies,Non-Vegetarian,402,47.59,0.84,10.01,8.57,5.19,-10.41,100,0
Tofu and Vegetable Stew,Vegan,330,47.7,0.76,9.99,8.6,5.2,-10.66,100,0
Chana Chaat with Avocado,Vegetarian,286,47.81,0.68,9.97,8.64,5.21,-10.91,100,0
Spicy Chicken Curry with Rice,Non-Vegetarian,522,47.92,0.6,9.95,8.67,5.22,-11.16,100,0
Grilled Tofu Wrap,Vegan,374,48.03,0.51,9.94,8.71,5.23,-11.41,100,0
Paneer and Spinach Wrap,Vegetarian,388,48.14,0.43,9.92,8.74,5.24,-11.66,100,0
Tofu and Chickpea Burger,Vegan,462,48.25,0.35,9.9,8.78,5.26,-11.91,100,0
Chicken and Sweet Potato Salad,Non-Vegetarian,482,48.35,0.27,9.88,8.81,5.27,-12.16,100,0
Vegan Lentil Stew with Spinach,Vegan,304,48.46,0.19,9.86,8.85,5.28,-12.41,100,0
Paneer Bhurji with Quinoa,Vegetarian,414,48.57,0.11,9.84,8.88,5.29,-12.66,100,0
Chana and Tofu Salad,Vegan,376,48.68,0.03,9.82,8.92,5.3,-12.92,100,0
Grilled Chicken with Veggie Rice,Non-Vegetarian,484,48.79,-0.05,9.81,8.95,5.31,-13.17,100,0
Tofu and Bell Pepper Stir Fry,Vegan,374,48.9,-0.13,9.79,8.99,5.32,-13.42,100,0
Chicken and Avocado Salad,Non-Vegetarian,442,49,-0.21,9.77,9.02,5.33,-13.67,100,0
Grilled Paneer with Avocado,Vegetarian,354,49.11,-0.29,9.75,9.06,5.34,-13.92,100,0
Spicy Vegan Chickpea Wrap,Vegan,180,49.22,-0.37,9.73,9.09,5.36,-14.17,100,0
Tofu and Quinoa Salad,Vegan,386,54.28,24.13,16.89,6.03,9.65,0,100,0.06
Chicken Tikka with Brown Rice,Non-Vegetarian,504,61.6,31.92,17.92,4.48,5.6,89.6,100,0.06
Vegan Lentil Soup with Vegetables,Vegan,312,46.22,23.11,9.24,3.47,6.93,0,100,0.07
Paneer and Broccoli Stir Fry,Vegetarian,362,20.69,29.48,18.62,6.21,6.21,62.06,100,0.08
Chickpea and Tofu Pulao,Vegan,416,60.21,24.08,13.14,4.38,7.66,0,100,0.06
Chicken Tandoori with Veggie Salad,Non-Vegetarian,462,41.07,29.26,18.48,6.16,7.19,77,100,0.06
Grilled Tofu with Hummus,Vegan,386,44.11,27.57,15.44,5.51,8.82,0,100,0.07
Palak and Tofu Curry,Vegan,282,29.17,17.5,9.72,3.89,6.81,0,100,0.06
Grilled Tempeh with Steamed Veggies,Non-Vegetarian,404,46.17,28.86,18.47,6.93,10.39,0,100,0.07
Vegetable and Tofu Stir-Fry with Rice,Vegan,408,60.65,22.05,13.23,5.51,7.72,0,100,0.05
Paneer and Chickpea Curry,Vegetarian,422,54.26,24.11,21.7,8.44,9.65,0,100,0.06
Vegetable Quesadilla,Vegetarian,480,64,16,21.33,8.53,6.4,0,100,0.03
Spicy Lentil Tacos,Vegetarian,345,57.5,18.4,10.35,5.75,6.9,0,100,0.05
Chickpea and Cauliflower Stew,Vegetarian,328,46.86,17.57,14.06,4.69,9.37,0,100,0.05
Quinoa and Kale Salad,Vegetarian,360,50.63,20.25,13.5,5.63,9,0,100,0.06
Spinach and Potato Croquettes,Vegetarian,402,54.82,18.27,21.93,7.31,8.53,0,100,0.05
Mango Chutney Chicken,Non-Vegetarian,422,31.65,30.07,18.99,4.22,7.39,84.4,100,0.07
Vegetable Pita Wrap,Vegetarian,328,52.71,11.71,14.06,5.86,8.2,0,100,0.04
Roasted Cauliflower and Lentil Soup,Vegetarian,280,43.08,12.92,8.62,5.38,7.54,0,100,0.05
Tofu and Veggie Stir-Fry,Non-Vegetarian,380,59.38,21.38,14.25,8.31,9.5,0,100,0.06
Spicy Mushroom and Tofu Curry,Vegan,375,45.45,22.73,17.05,6.82,7.95,0,100,0.06
Grilled Eggplant with Tahini,Non-Vegetarian,322,32.2,10.73,19.32,9.66,7.51,0,100,0.03
Chickpea and Spinach Wrap,Vegetarian,292,43.26,16.22,8.65,5.41,7.57,0,100,0.06
Grilled Chicken and Avocado Salad,Non-Vegetarian,368,29.05,27.6,11.62,4.84,6.78,77.47,100,0.08
Vegetable Soup with Quinoa,Vegetarian,263,37.57,9.39,6.58,5.64,7.51,0,100,0.04
Lentil and Potato Stew,Vegetarian,344,53.75,19.35,8.6,5.38,8.6,0,100,0.06
Tofu and Vegetable Kebabs,Vegan,410,46.86,25.77,21.09,8.2,10.54,0,100,0.06
Palak and Paneer Wrap,Vegetarian,422,49.97,22.21,19.99,7.77,8.88,55.53,100,0.05
Grilled Salmon Salad,Vegetarian,465,25.83,29.45,25.83,6.2,7.23,93,100,0.06
Chana and Rice,Vegetarian,350,50,15,10,6,9,0,100,0.04
Vegetable and Tofu Korma,Vegan,427,58.71,19.22,16.01,8.54,7.47,0,100,0.05
Paneer and Veggie Stuffed Paratha,Non-Vegetarian,442,58.16,23.26,20.94,9.31,8.14,58.16,100,0.05
Quinoa and Veggie Stuffed Peppers,Non-Vegetarian,342,51.3,20.52,11.4,6.84,9.12,0,100,0.06
Chickpea and Avocado Toast,Vegetarian,328,52.48,19.68,15.74,6.56,7.87,0,100,0.06
Grilled Chicken Caesar Salad,Non-Vegetarian,442,31.57,29.99,18.94,7.37,6.31,89.45,100,0.07
Spinach and Mushroom Salad,Vegetarian,342,42.75,12.21,21.99,6.11,8.55,0,100,0.04
Chana and Broccoli Stir-Fry,Vegetarian,360,54,21.6,14.4,7.2,9.6,0,100,0.06
Vegetable Sushi Rolls,Vegetarian,350,50,15,10,6,8,0,100,0.04
Spicy Tofu Tacos,Vegan,348,49.71,24.86,14.91,6.21,8.7,0,100,0.07
Grilled Paneer with Green Salad,Vegetarian,382,29.84,34.02,21.49,8.36,7.16,59.69,100,0.09
Tofu and Broccoli Stir-Fry,Vegan,378,51.55,20.62,16.04,8.02,9.16,0,100,0.05
Vegetable Makhani,Vegetarian,454,62.43,20.43,20.43,9.08,10.22,0,100,0.05
Chickpea and Vegetable Patties,Vegetarian,407,63.59,22.89,19.08,8.9,11.45,0,100,0.06
Grilled Tofu with Asparagus,Vegan,392,44.8,24.64,17.92,5.6,8.96,0,100,0.06
Vegetable Pakora with Yogurt Dip,Vegetarian,363,56.33,15.02,18.78,7.51,8.76,0,100,0.04
Lentil and Sweet Potato Curry,Vegetarian,380,57.58,20.73,13.82,6.91,10.36,0,100,0.05
Chana and Spinach Saut̩,Vegetarian,310,45.93,17.22,11.48,5.74,6.89,0,100,0.06
Paneer and Vegetable Skewers,Vegetarian,342,26.72,21.38,19.24,8.55,7.48,53.44,100,0.06
Puran Poli,Vegetarian,268,48.24,4.29,8.58,16.08,5.36,0,100,0.02
Vada Pav,Vegetarian,363,51.86,7.26,15.56,4.15,3.11,0,100,0.02
Misal Pav,Vegetarian,422,51.58,9.38,16.88,9.38,4.69,0,100,0.02
Sabudana Khichdi,Vegetarian,310,44.29,4.43,8.86,0.89,2.66,0,100,0.01
Poha,Vegetarian,256,40.96,6.14,8.19,2.05,3.07,0,100,0.02
Thalipeeth,Vegetarian,300,40,8,12,2,4,0,100,0.03
Bhakri,Vegetarian,216,32.4,6.48,8.64,1.08,2.16,0,100,0.03
Pitla,Vegetarian,182,25.28,7.08,6.07,3.03,2.02,0,100,0.04
Kothimbir Wadi,Vegetarian,282,20.14,10.07,18.13,1.01,4.03,0,100,0.04
Pav Bhaji,Vegetarian,387,47.3,6.88,12.9,8.6,6.02,0,100,0.02
Shira,Vegetarian,304,45.6,4.05,12.16,18.24,3.04,0,100,0.01
Bhel Puri,Vegetarian,232,40.6,5.8,9.28,2.32,5.8,0,100,0.03
Puran Poli,Vegetarian,266,42.56,4.26,10.64,19.15,5.32,0,100,0.02
Batata Vada,Vegetarian,291,40.74,4.66,17.46,1.16,3.49,0,100,0.02
Alu Vadi,Vegetarian,228,44.33,5.07,10.13,3.8,3.8,0,100,0.02
Modak,Vegetarian,290,46.61,5.18,10.36,15.54,2.07,0,100,0.02
Pohe,Vegetarian,199,28.43,3.79,6.63,1.9,2.84,0,100,0.02
Zunka Bhakri,Vegetarian,347,44.61,7.93,14.87,1.98,5.95,0,100,0.02
Khandvi,Vegetarian,282,45.12,9.02,11.28,2.26,4.51,0,100,0.03
Ukadiche Modak,Vegetarian,310,51.67,5.17,10.33,18.6,3.1,0,100,0.02
Pav Bhaji,Vegetarian,414,56.93,8.28,18.63,10.35,7.25,0,100,0.02
Kolhapuri Misal,Vegetarian,383,47.88,11.49,14.36,9.58,5.75,0,100,0.03
Chutney,Vegetarian,162,27,2.16,6.48,12.96,5.4,0,100,0.01
Shev Bhaji,Vegetarian,308,44,11,13.2,2.2,4.4,0,100,0.04
Amboli,Vegetarian,232,36.91,5.27,8.44,1.05,2.11,0,100,0.02
Bhakarwadi,Vegetarian,343,44.1,6.86,14.7,7.84,4.9,0,100,0.02
Surli Vadi,Vegetarian,254,35.56,6.1,10.16,3.05,4.06,0,100,0.02
Kaladi,Vegetarian,280,33.79,7.72,11.59,0.97,2.9,0,100,0.03
Kachori,Vegetarian,398,56.86,10.23,20.47,3.41,5.69,0,100,0.03
Shengdana chutney,Vegetarian,174,14.5,5.8,9.67,1.93,1.93,0,100,0.03
Chana Usal,Vegetarian,427,58.71,19.22,16.01,6.41,6.41,0,100,0.05
Goan Saag,Vegetarian,240,38.18,7.64,8.73,1.09,3.27,0,100,0.03
Pitla Bhakri,Vegetarian,320,41.14,7.31,10.97,3.66,4.57,0,100,0.02
Mango Mastani,Vegetarian,219,30.66,3.5,6.13,19.27,1.75,0,100,0.02
Dal Amti,Vegetarian,328,54.67,15.31,8.75,3.28,5.47,0,100,0.05
Ghavtya,Vegetarian,288,42.67,5.33,12.8,16,3.2,0,100,0.02
Masala Wada,Vegetarian,343,39.2,11.76,14.7,1.96,3.92,0,100,0.03
Shrikhand,Vegetarian,376,56.4,6.58,11.28,28.2,2.82,0,100,0.02
